"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",15720856187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",135806160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,12737183886718,0,0,0,0,0,0
"4",0,0,0,2251461338,1485096323,0,1122885204000,7501336792,276084813204,190280613908,1857170953672,0,2612166533,2753446364,12010160596,20843866744,2141538204130,0,0
"5",4941598967165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",16564516864981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,2e+11,4.3509e+10,7.5027e+10,9.9478e+10,3e+10,4.9823e+10,8e+10,4.43133e+11,3.93661e+11,3.94432e+11,6.40913e+11,1.9e+11,6.02416e+11,1.81081e+11,1.24737e+11,1.151667e+12,4.1803e+11,0
"14",0,0,0,0,0,0,0,1.412e+10,32193317600,0,0,0,0,0,0,0,0,0,2.824e+10
"15",0,2711523866632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",3658964422693,3448619455441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",4.9e+11,1.1e+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2944898003,49026221023,99961888196,164391832677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,-1030558712728,-2e+08,0,0,-177718932525,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",-1294442266923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",-1238842702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",-46052075635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",-1893069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,-10255815,0,0,0,0,0,0,0,0,-141720368446
"25",0,0,0,0,0,-5e+11,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,-1.722e+12,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",-7619909384492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",-498730531803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",-1000100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",-1036928322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",-1070622307665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",-6557207111684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",-7484360223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",-53538640209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",-46033390793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",-197121544189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",-762490166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",-3825189755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0,0,-1825776282748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",-7e+10,-13712696038179,-4449516320424,-453855696577,-626716689263,-1221984890087,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",0,-6375572112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,-201259478357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,-2244655735156,-195542388369,-320350100000,-3.85e+09,-5.501e+09,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",0,-2582527385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",0,-4461920000,-6270045586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
